species	group	category	fold	from	to	delta	PiS	PiN	PiNPiS	syn_counts	nsyn_counts	Lsyn	Lnsyn	TD4	TD0	GC3	gradient	eps	Sd	beta	pb	Sb	alpha	D1	D2	D3	D4
Qd	tree	0:TOL-STABLE	0	-1	0	1	0.01809471	0.030305876	1.67484688	67811	28498	1718535	464306	0.3069832	0.83085229	0.4652893	0.0001	0.014525507	-4886.841155	4.731438286	0.955951688	4.782737831	1	2.02E-21	1.09E-16	5.78E-12	0.044048312
Qd	tree	0:TOL-TOL	0	-1	-1	0	0.01616895	0.010187447	0.63006252	75143	48520	2111529	2164893	0.2440803	0.24705082	0.4675664	0.00026	4.82E-05	-4912.656184	0.534709268	0.61519353	0.38337925	0.994831	0.004603556	0.011155332	0.037878886	0.331168696
Ayan	tree	0:DEL-DEL	0	-2	-2	0	0.002327846	6.92E-04	0.29734462	128	91	18212	46140	0.7224796	1.0048311	0.5003106	0.00006	0.095670012	-388.486258	4.478242481	0.208729014	1.596747403	1	3.96E-14	1.17E-09	2.91E-05	0.791241862
Ayan	tree	0:DEL-EXDEL	0	-2	-3	-1	0.002189283	2.48E-04	0.11314921	77	57	11263	74045	0.5556529	0.5728129	0.4318627	0.00008	0.000113263	-452.4408982	0.429156652	0.000166552	0.006052527	0.002623	0.081756909	0.136564335	0.335287902	0.446224302
Ayan	tree	0:DEL-STABLE	0	-2	0	2	0.002064282	5.12E-03	2.48132765	335	256	60207	20045	1.3187547	1.7601709	0.4483294	0.00006	0.099926543	-2404.831356	2.188755213	0.989936432	10.83335377	1	1.67E-10	2.56E-08	3.85E-06	0.010059697
Ayan	tree	0:DEL-TOL	0	-2	-1	1	0.001934956	2.31E-03	1.19284799	198	160	32480	23845	0.5235275	0.9125374	0.4420152	0.00007	0.001160098	-2041.083976	2.658079165	0.818266357	1.509007845	1	7.28E-11	3.30E-08	1.45E-05	0.181719081
Ayan	tree	0:EXDEL-DEL	0	-3	-2	1	0.00224251	7.31E-03	3.25932772	16	12	2577	674	1.0458467	1.6384821	0.384	0.00007	0.004028557	-930.4567804	0.065922782	0.98882983	28.08427445	0.999778	0.00736796	0.001202634	0.001346947	0.001252628
Ayan	tree	0:EXDEL-STABLE	0	-3	0	3	0.001748673	3.18E-01	182.0835084	349	423	71853	475	1.1566455	1.1212438	0.48475	0.00032	0.099996877	-6.009716671	0.012793051	0.989999994	49.99971533	0.999812	0.009824453	0.00016531	1.02E-05	4.51E-13
Ayan	tree	0:EXDEL-TOL	0	-3	-1	2	0.004330737	4.26E-02	9.83410114	35	21	3669	185	2.4156477	1.2634369	0.4725	0.00005	0.099967267	-467.2167089	0.01096192	0.989946684	49.98227664	0.999818	0.00945674	0.000239719	0.000228258	0.000128598
Ayan	tree	0:STABLE-DEL	0	0	-2	-2	0.001975346	2.20E-04	0.11140305	2881	2791	489761	4048019	0.8026255	0.5550963	0.4643555	0.00009	3.61E-05	-3236.397476	0.285669549	2.41E-05	0.134485923	0.000317	0.110437823	0.10263065	0.195740782	0.591166652
Ayan	tree	0:STABLE-EXDEL	0	0	-3	-3	0.001654217	8.75E-05	0.05287779	1773	2112	363053	7523006	0.8457875	0.4419563	0.4513152	0.00008	1.59E-05	-3273.33268	0.402498988	1.05E-05	0.000340207	0.000316	0.043370043	0.066112865	0.164949551	0.725557053
Ayan	tree	0:STABLE-STABLE	0	0	0	0	0.001970935	6.26E-04	0.31738197	19	11	3111	4636	0.5480169	-0.2294198	0.4596774	0.00008	0.000373298	-6.012875731	4.517115154	0.020240431	44.82703802	0.937041	4.81E-06	0.04806286	0.931571065	0.000120835
Ayan	tree	0:STABLE-TOL	0	0	-1	-1	0.001935263	4.87E-04	0.25182264	5221	6724	921175	4578230	0.8869882	0.7437052	0.4641065	0.00009	0.000196456	-4994.64086	0.238028856	0.135208135	0.000274989	0.594095	0.125315012	0.091396287	0.156892922	0.491187645
Ayan	tree	0:TOL-DEL	0	-1	-2	-1	0.002118011	2.65E-04	0.12492309	804	627	131290	767070	0.9504647	0.6207643	0.4671933	0.00007	0.000236539	-2306.895217	0.277443551	0.000109682	0.002708752	0.001152	0.129436591	0.115544708	0.215197519	0.539711501
Ayan	tree	0:TOL-EXDEL	0	-1	-3	-2	0.001999437	7.24E-05	0.03623441	195	144	32546	623892	0.7635038	0.4697315	0.4509804	0.00007	0.000670573	-4496.735016	0.442151037	4.70E-05	0.646967162	0.003035	0.027384085	0.048365955	0.132640592	0.791562326
Ayan	tree	0:TOL-STABLE	0	-1	0	1	0.002209579	1.48E-03	0.66978077	2285	1979	361250	472322	1.0036828	1.0613305	0.4660196	0.00008	0.098140654	-3305.594165	2.531828401	0.460048694	2.554620294	1	1.93E-10	6.53E-08	2.18E-05	0.53992945
Ayan	tree	0:TOL-TOL	0	-1	-1	0	0.002043682	6.40E-04	0.31316824	4160	4850	700619	2549434	0.9277054	0.812194	0.4598995	0.00006	0.098798836	-4969.665161	0.362558062	0.274982547	0.001408054	0.907808	0.037224178	0.048513945	0.110890365	0.528388965
Cjapon	tree	0:DEL-DEL	0	-2	-2	0	0.004840857	0.001748613	0.36121967	734	237	47073	42849	0.4244509	0.50578457	0.4885928	0.00007	0.082572926	-4174.928379	4.165486922	0.343471181	0.160411242	1	1.76E-17	2.57E-13	3.70E-09	0.656528815
Cjapon	tree	0:DEL-EXDEL	0	-2	-3	-1	0.005125968	0.000482705	0.09416857	412	143	26778	89343	0.7598699	0.28916528	0.4969101	0.00007	0.00015445	-319.0549871	0.4925518	4.43E-05	0.503753609	0.001066	0.065888572	0.137037467	0.374232635	0.422797072
Cjapon	tree	0:DEL-STABLE	0	-2	0	2	0.006019675	0.010206404	1.69550748	2144	718	121276	23773	0.8723722	0.83243435	0.4923536	0.00008	0.063834894	-3211.734826	0.977418517	0.98846029	4.601051801	0.999999	4.35E-06	3.69E-05	0.000345013	0.011153443
Cjapon	tree	0:DEL-TOL	0	-2	-1	1	0.005367929	0.004473863	0.83344289	1061	356	62944	25079	0.5437221	0.49288602	0.4943182	0.00007	0.001069623	-3455.220211	3.265344669	0.48831706	4.144703776	1	1.69E-13	3.10E-10	5.60E-07	0.511682379
Cjapon	tree	0:EXDEL-DEL	0	-3	-2	1	0.00542017	0.012544206	2.31435665	205	62	12939	1771	0.8876074	1.10012064	0.5063241	0.00007	0.006767236	-869.8588434	0.026495929	0.989351306	12.21435565	0.999328	0.00903222	0.000565649	0.000577386	0.000473439
Cjapon	tree	0:EXDEL-EXDEL	0	-3	-3	0	0.005944931	0.000423109	0.07117146	29	8	1598	7165	0.6343318	1.16076993	0.4285714	0.00008	0.000150598	-512.4628217	4.524712323	0.040105462	2.443672567	1	9.66E-15	3.19E-10	9.24E-06	0.959885295
Cjapon	tree	0:EXDEL-STABLE	0	-3	0	3	0.005049423	0.182586448	36.15986498	1633	899	106551	1656	0.707939	0.80915245	0.4805763	0.00085	0.09999935	-580.7991665	0.011231311	0.989999992	49.99999363	0.99982	0.009369558	0.00024382	0.000235651	0.00015098
Cjapon	tree	0:EXDEL-TOL	0	-3	-1	2	0.005934285	0.048963873	8.25101528	225	81	12430	574	0.6779804	0.94431289	0.4788603	0.00007	0.000224735	-138.7493356	0.013985702	0.989975049	49.9832268	0.999821	0.009430074	0.000300079	0.000243856	5.09E-05
Cjapon	tree	0:STABLE-DEL	0	0	-2	-2	0.004577246	0.000567798	0.12404791	12085	6389	873558	3448550	0.7295518	0.36635229	0.5018906	0.00058	5.09E-05	-1163.674395	0.317590938	3.63E-05	0.103383153	0.000435	0.118689016	0.127457162	0.255978987	0.497838538
Cjapon	tree	0:STABLE-EXDEL	0	0	-3	-3	0.004479477	0.000160366	0.03580013	7432	4295	554092	7904393	0.7756697	0.19742885	0.5024774	0.00006	2.60E-07	-2562.373123	0.490059032	9.28E-08	0.038783698	0.000005	0.024104644	0.050309991	0.152953451	0.772631821
Cjapon	tree	0:STABLE-STABLE	0	0	0	0	0.005254222	0.002466817	0.46949224	86	30	5301	3418	0.6100409	-0.01136088	0.523913	0.00007	0.003102566	-9.770726075	0.988984458	0.071361575	48.81710091	0.962056	0.093093418	0.506207267	0.329305482	3.23E-05
Cjapon	tree	0:STABLE-TOL	0	0	-1	-1	0.004509847	0.001435226	0.31824263	20365	16426	1483961	3659931	0.6962576	0.5646432	0.5009957	0.00009	0.039725494	-4915.132051	0.127896244	1.75E-05	0.004785744	0.000063	0.358428677	0.122641973	0.16340655	0.355505269
Cjapon	tree	0:TOL-DEL	0	-1	-2	-1	0.005116793	0.000731146	0.14289136	3038	1177	198027	510907	0.76883	0.52776569	0.4984888	0.00008	8.32E-05	-1361.029246	0.286457757	6.52E-05	0.108575037	0.000665	0.140643369	0.130962043	0.246106951	0.482222424
Cjapon	tree	0:TOL-EXDEL	0	-1	-3	-2	0.00529229	0.000234394	0.04428963	963	384	63052	492963	0.9605155	0.2818791	0.5030503	0.00006	1.10E-05	-2082.229612	0.464605725	4.94E-06	0.066681612	0.000198	0.032425245	0.061957794	0.177003547	0.728608474
Cjapon	tree	0:TOL-STABLE	0	-1	0	1	0.005307601	0.004727894	0.89077802	10589	4960	665076	348859	0.7667137	0.75422314	0.494321	0.00008	0.099496313	-83.05323046	4.966821149	0.623202736	2.312944895	0.999999	9.64E-13	8.16E-08	0.003115061	0.373682122
Cjapon	tree	0:TOL-TOL	0	-1	-1	0	0.004849164	0.001901121	0.39205123	14401	9430	987950	1609480	0.756418	0.6344119	0.499325	0.00019	0.091432101	-4906.089608	0.151145545	0.113727044	2.258609274	0.604184	0.263022469	0.109398252	0.153763769	0.360088467
Did	tree	0:DEL-DEL	0	-2	-2	0	0.000924271	3.58E-04	0.387439	39	53	11776	47326	-0.03934627	0.54222283	0.5125	0.00007	0.00010711	-4657.786312	4.822686085	0.320792938	0.385446988	1	1.56E-20	1.03E-15	6.76E-11	0.679207062
Did	tree	0:DEL-EXDEL	0	-2	-3	-1	0.000640259	1.17E-04	0.18326186	19	34	7349	76524	-0.45918466	-0.24917443	0.3962963	0.00008	3.86E-05	-4615.308316	2.365873977	0.170268139	0.003467667	1	6.18E-10	1.43E-07	3.27E-05	0.82969902
Did	tree	0:DEL-STABLE	0	-2	0	2	0.001306885	1.23E-03	0.94437503	41	63	10491	21446	0.7434237	1.99068989	0.5244898	0.00005	1.35E-05	-4896.869581	4.647083258	0.422118449	49.92237806	1	6.19E-20	2.74E-15	1.20E-10	0.577881551
Did	tree	0:DEL-TOL	0	-2	-1	1	0.000936926	6.26E-04	0.6680413	36	48	13437	24638	0.95359323	0.56159121	0.4030612	0.00006	2.17E-05	-15.10527534	4.925934053	0.40860153	3.1679071	0.998415	8.23E-09	0.000424603	0.471944795	0.119029063
Did	tree	0:EXDEL-STABLE	0	-3	0	3	0.00058529	1.01E-01	171.9592881	22	97	12994	391	0.86754476	1.80364325	0.4648148	0.0001	0.099874838	-265.08434	0.012261369	0.98997894	49.97534503	0.99982	0.009423238	0.000265891	0.000240385	9.15E-05
Did	tree	0:STABLE-DEL	0	0	-2	-2	0.000727422	1.54E-04	0.21218763	1009	2196	394363	3529197	0.03626077	-0.50308659	0.4597662	0.00008	0.006470259	-553.7468153	0.274040851	0.000301815	0.260346527	0.002379	0.196257236	0.171324106	0.300333674	0.331783169
Did	tree	0:STABLE-EXDEL	0	0	-3	-3	0.00067389	6.09E-05	0.09044309	659	1783	284663	6778349	0.13693817	-0.74618025	0.4642606	0.00007	1.96E-06	-584.071884	0.476245574	8.95E-06	0.155909977	0.000222	0.054319418	0.107506224	0.299761176	0.538404232
Did	tree	0:STABLE-TOL	0	0	-1	-1	0.000727342	2.75E-04	0.37772151	1714	4205	678324	4079696	0.08894267	-0.22809792	0.4640659	0.00009	0.016604693	-501.9272207	0.157602641	0.002051211	0.17295074	0.007267	0.402359969	0.174621465	0.233258137	0.187709219
Did	tree	0:TOL-DEL	0	-1	-2	-1	0.000713072	1.94E-04	0.27222876	260	520	104972	691519	0.08898221	-0.35180699	0.4601316	0.00006	0.000167917	-709.9387712	0.210200605	0.002145522	0.056525412	0.010737	0.274133473	0.169688871	0.261063365	0.292968769
Did	tree	0:TOL-EXDEL	0	-1	-3	-2	0.000600816	6.36E-05	0.105812	78	162	33656	571986	-0.32782312	-0.84355104	0.4894495	0.00007	8.36E-06	-4735.626173	0.303141216	0.000118184	0.373856007	0.002255	0.085699259	0.086458403	0.172315172	0.655408982
Did	tree	0:TOL-STABLE	0	-1	0	1	0.000859447	6.14E-04	0.7143825	486	825	163710	433672	0.11322079	0.60712129	0.4446825	0.00008	0.036014849	-420.301332	4.337091226	0.478625775	3.689961682	1	5.39E-14	1.15E-09	2.10E-05	0.521353187
Did	tree	0:TOL-TOL	0	-1	-1	0	0.000766976	3.52E-04	0.45834308	1247	2934	475758	2332368	0.15979749	-0.03596077	0.4603528	0.00008	0.000119827	-3174.227282	0.100428556	0.025010673	49.65266147	0.773135	0.456101041	0.118514444	0.147639373	0.252734469
Dis	tree	0:DEL-DEL	0	-2	-2	0	0.002524373	0.000881495	0.34919355	447	210	40085	51796	-0.8224537	-0.94996228	0.5301508	0.00008	0.003694346	-456.159986	0.38977013	0.143778386	7.528417367	0.942729	0.088618816	0.127604071	0.286694019	0.353304708
Dis	tree	0:DEL-EXDEL	0	-2	-3	-1	0.002883828	0.000338667	0.11743674	359	164	30734	83252	-0.5178694	-1.61593504	0.5209916	0.00008	9.36E-06	-244.5051376	0.575496233	0.000236434	0.231034542	0.006358	0.047306929	0.128329238	0.40631011	0.41781729
Dis	tree	0:DEL-STABLE	0	-2	0	2	0.002554652	0.00272721	1.06754668	380	198	36398	22840	-0.5504619	0.48202319	0.5468932	0.00007	0.008636656	-4904.890148	3.425309247	0.663820108	3.491399845	1	7.31E-15	1.94E-11	5.10E-08	0.336179841
Dis	tree	0:DEL-TOL	0	-2	-1	1	0.003071405	0.001836868	0.59805475	425	180	33895	27034	-0.5469699	-0.08817289	0.5294221	0.00007	0.003523005	-471.3262327	3.232567442	0.407637938	5.188464258	1	1.67E-10	2.80E-07	0.000414399	0.591947383
